pressure,height,temperature,dewpoint,direction,speed,u_wind,v_wind,station,station_number,time,latitude,longitude,elevation,pw
1002.0,31,24.0,23.1,0.0,0.0,-0.0,-0.0,,43285,1980-06-02,12.94,74.83,31.0,49.36
1000.0,-349,-23.6,-24.6,0.0,0.0,-0.0,-0.0,,43285,1980-06-02,12.94,74.83,31.0,49.36
905.0,733,21.8,17.9,299.0,3.0,2.623859121418187,-1.454428860739012,,43285,1980-06-02,12.94,74.83,31.0,49.36
850.0,1468,18.6,15.0,260.0,5.0,4.92403876506104,0.8682408883346516,,43285,1980-06-02,12.94,74.83,31.0,49.36
745.0,2589,12.2,8.5,240.0,5.0,4.330127018922192,2.500000000000002,,43285,1980-06-02,12.94,74.83,31.0,49.36
713.0,2956,11.0,6.2,234.0,5.0,4.045084971874736,2.9389262614623664,,43285,1980-06-02,12.94,74.83,31.0,49.36
600.0,4379,3.8,-1.0,207.0,5.0,2.2699524986977333,4.455032620941839,,43285,1980-06-02,12.94,74.83,31.0,49.36
500.0,5840,-4.1,-8.9,180.0,5.0,-6.123233995736766e-16,5.0,,43285,1980-06-02,12.94,74.83,31.0,49.36
400.0,7580,-13.7,-18.7,140.0,7.0,-4.499513267805776,5.362311101832845,,43285,1980-06-02,12.94,74.83,31.0,49.36
300.0,9710,-27.1,-32.1,106.0,15.0,-14.418925439074783,4.134560337254986,,43285,1980-06-02,12.94,74.83,31.0,49.36
250.0,11000,-23.5,-34.5,85.0,20.0,-19.92389396183491,-1.7431148549531628,,43285,1980-06-02,12.94,74.83,31.0,49.36
73.0,18454,-75.1,-56.3,,,,,,43285,1980-06-02,12.94,74.83,31.0,49.36
70.0,18680,-72.1,-57.0,95.0,26.0,-25.901062150385386,2.2660493114391143,,43285,1980-06-02,12.94,74.83,31.0,49.36
66.0,19028,-67.9,-58.1,,,,,,43285,1980-06-02,12.94,74.83,31.0,49.36
55.0,20129,-64.3,-61.3,,,,,,43285,1980-06-02,12.94,74.83,31.0,49.36
50.0,20716,-59.5,-63.0,,,,,,43285,1980-06-02,12.94,74.83,31.0,49.36
45.0,21383,-54.1,,,,,,,43285,1980-06-02,12.94,74.83,31.0,49.36
39.0,22306,-51.7,,,,,,,43285,1980-06-02,12.94,74.83,31.0,49.36
